n_parcel,lat,lon,timestamp
102,-4.428148,-37.515903,2022-02-01 06:00:00
102,-4.444739,-37.408058,2022-02-01 00:00:00
102,-4.491764,-37.363335,2022-01-31 18:00:00
102,-4.507608,-37.25295300000001,2022-01-31 12:00:00
102,-4.576266,-37.196907,2022-01-31 06:00:00
102,-4.581222,-37.102287,2022-01-31 00:00:00
102,-4.630538,-37.064194,2022-01-30 18:00:00
102,-4.627239,-36.992741,2022-01-30 12:00:00
102,-4.669345,-36.954876,2022-01-30 06:00:00
102,-4.654624,-36.90255,2022-01-30 00:00:00
102,-4.673236,-36.892086,2022-01-29 18:00:00
102,-4.6630660000000015,-36.872204,2022-01-29 12:00:00
102,-4.661213,-36.867069,2022-01-29 06:00:00
102,-4.643072,-36.855701,2022-01-29 00:00:00
102,-4.632496,-36.846127,2022-01-28 18:00:00
102,-4.627537,-36.82436,2022-01-28 12:00:00
102,-4.630989,-36.796879,2022-01-28 06:00:00
102,-4.633335,-36.755863,2022-01-28 00:00:00
102,-4.623153,-36.703522,2022-01-27 18:00:00
102,-4.631501,-36.65041400000001,2022-01-27 12:00:00
102,-4.6409449999999985,-36.601513,2022-01-27 06:00:00
102,-4.650713,-36.54903,2022-01-27 00:00:00
102,-4.650885,-36.49065,2022-01-26 18:00:00
102,-4.658534,-36.442612,2022-01-26 12:00:00
102,-4.671526,-36.400341,2022-01-26 06:00:00
102,-4.681056,-36.360474,2022-01-26 00:00:00
102,-4.681788,-36.317421,2022-01-25 18:00:00
102,-4.688654,-36.280426,2022-01-25 12:00:00
102,-4.70234,-36.246094,2022-01-25 06:00:00
102,-4.710717,-36.20882,2022-01-25 00:00:00
102,-4.708165,-36.158573,2022-01-24 18:00:00
102,-4.712072,-36.12045300000001,2022-01-24 12:00:00
102,-4.716875,-36.086994,2022-01-24 06:00:00
102,-4.714836,-36.044399,2022-01-24 00:00:00
102,-4.713135,-35.975636,2022-01-23 18:00:00
102,-4.719248,-35.911179,2022-01-23 12:00:00
102,-4.732468,-35.84702700000001,2022-01-23 06:00:00
102,-4.7494239999999985,-35.771111,2022-01-23 00:00:00
102,-4.77094,-35.66441,2022-01-22 18:00:00
102,-4.804945,-35.56424000000001,2022-01-22 12:00:00
102,-4.838767,-35.46843300000001,2022-01-22 06:00:00
